id,nombre,descripcion,ultima_actualizacion,api_url
9td7-xpk3,"Índice de Información Clasificada y Reservada 2023 ,202",Índice de Información Clasificada y Reservada,2025-12-19T22:44:35.000Z,https://www.datos.gov.co/resource/9td7-xpk3.json
q4jn-pnp7,Casos Confirmados Malaria Departamento del Caquetá,,2024-10-29T21:28:15.651Z,https://www.datos.gov.co/resource/q4jn-pnp7.json
tjev-rnf8,INVENTARIO DE ACTIVOS DE INFORMACION ALCALDIA DE CALARCA,MATRIZ DE INVENTARIO DE ACTIVOS DE INFORMACIÓN,2025-12-19T22:45:10.000Z,https://www.datos.gov.co/resource/tjev-rnf8.json
itcg-zj4z,Indice de información clasificada y reservada – FINAGRO 2022,Información clasificada y reservada identificada en la Entidad,2025-12-19T22:53:24.000Z,https://www.datos.gov.co/resource/itcg-zj4z.json
simq-cnf7,SECOP II - Procesos - 202202 - 202208,"Registro de los procesos de compra, sean o no adjudicados, hechos en la plataforma SECOP II desde su lanzamiento",2026-04-06T23:32:04.000Z,https://www.datos.gov.co/resource/simq-cnf7.json
rgdq-uqqk,"Incautaciones aplicadas del Código de Seguridad y Convivencia Ciudadana, utilizados durante el segundo trimestre 2021 – País",Incautaciones aplicadas durante la vigencia 2021 - País referente al Código de Seguridad y Convivencia Ciudadana.,2025-12-19T23:09:15.000Z,https://www.datos.gov.co/resource/rgdq-uqqk.json
pdj3-wscj,Índice de información clasificada y reservada,"Inventario de la información pública generada, obtenida, adquirida o controlada por INFIVALLE, que ha sido calificada como clasificada o reservada conforme a la Ley 1712 de 2014 y demás normativas aplicables. 
Consulte la Licencia de Uso de Datos Abiertos de INFIVALLE en:
https://infivalle.gov.co/sites/default/files/2025-03/LICENCIA%20DE%20USO%20DE%20DATOS%20ABIERTOS.pdf.
Participe en nuestra Encuesta de Satisfacción sobre datos abiertos:
https://forms.gle/vKMjeNjsxAYdeP8m9",2025-12-19T23:24:55.000Z,https://www.datos.gov.co/resource/pdj3-wscj.json
pyj2-wbse,Resguardo Indígena Formalizado,"Se entienden los Resguardos Indígenas como una institución legal sociopolítica de origen colonial, conformada por un territorio reconocido de una comunidad de ascendencia amerindia, con título de propiedad inalienable, colectiva o comunitaria, regido por un estatuto especial autónomo, con pautas y tradiciones culturales propias. La información se encuentra disponible para visualización, consulta y descarga, y se actualiza de acuerdo a las dinámicas de la Agencia y los procesos que al interior de ella se adelanten.

La capa geográfica contiene la información de los Resguardos Indígenas Formalizados.
Diligencia la Encuesta de Satisfacción:",2026-03-18T20:45:24.000Z,https://www.datos.gov.co/resource/pyj2-wbse.json
n5m2-wbjz,Cantidad de Vacunas por Laboratorio - Risaralda,"Asignación de dosis de vacuna contra COVID-19 a los Departamentos y Distritos.
Diligencia la Encuesta de Satisfacción:
https://tramites.minsalud.gov.co/FormularioInscripcion/EncuestaSatisfaccion.aspx",2025-12-19T22:42:11.000Z,https://www.datos.gov.co/resource/n5m2-wbjz.json
fzsu-xtz8,Vigilancia Epidemiologicas por Tipo de Ciclo de Vida en el Primer Trimestre,DATOS TRIMESTRALES DE VIGILANCIA EPIDEMIOLOGICAS,2025-12-19T22:51:55.000Z,https://www.datos.gov.co/resource/fzsu-xtz8.json
